Client;Project;Task;Description;Billable;Start date;Start time;End date;End time;Duration;Tags;Amount ()
;;;;No;01.10.2021;13:45:36;01.10.2021;15:04:30;1:18:54;;
;;;;No;01.10.2021;15:46:40;01.10.2021;15:55:27;0:08:47;;
;;;;No;01.10.2021;19:31:59;01.10.2021;19:37:25;0:05:26;;
;;;;No;01.10.2021;19:37:31;01.10.2021;19:43:14;0:05:43;;
;;;;No;01.10.2021;19:43:25;01.10.2021;20:14:55;0:31:30;;
;;;;No;03.10.2021;10:55:36;03.10.2021;10:57:56;0:02:20;;
;;;;No;03.10.2021;11:13:43;03.10.2021;11:39:15;0:25:32;;
;;;;No;03.10.2021;11:51:34;03.10.2021;12:17:44;0:26:10;;
;;;;No;03.10.2021;12:21:54;03.10.2021;12:33:31;0:11:37;;
;;;;No;03.10.2021;12:41:26;03.10.2021;13:15:05;0:33:39;;
;;;;No;03.10.2021;14:24:42;03.10.2021;14:28:28;0:03:46;;
;;;;No;03.10.2021;14:32:38;03.10.2021;14:40:45;0:08:07;;
;;;;No;03.10.2021;14:42:58;03.10.2021;14:52:17;0:09:19;;
;;;;No;03.10.2021;14:53:20;03.10.2021;14:57:36;0:04:16;;
;;;;No;03.10.2021;15:36:18;03.10.2021;15:41:27;0:05:09;;
;;;;No;03.10.2021;18:30:19;03.10.2021;19:26:52;0:56:33;;
;;;;No;04.10.2021;9:08:34;04.10.2021;9:20:25;0:11:51;;
;;;;No;04.10.2021;9:55:59;04.10.2021;10:16:41;0:20:42;;
;;;;No;04.10.2021;10:20:25;04.10.2021;10:57:51;0:37:26;;
;;;;No;04.10.2021;11:01:10;04.10.2021;11:08:24;0:07:14;;
;;;;No;04.10.2021;12:10:29;04.10.2021;12:58:50;0:48:21;;
;;;;No;04.10.2021;13:10:52;04.10.2021;13:15:44;0:04:52;;
;;;;No;04.10.2021;13:35:42;04.10.2021;13:38:46;0:03:04;;
;;;;No;04.10.2021;13:41:25;04.10.2021;13:47:02;0:05:37;;
;;;;No;04.10.2021;13:48:24;04.10.2021;13:54:04;0:05:40;;
;;;;No;04.10.2021;14:29:32;04.10.2021;14:47:27;0:17:55;;
;;;;No;04.10.2021;14:55:30;04.10.2021;15:41:54;0:46:24;;
;;;;No;04.10.2021;15:46:15;04.10.2021;16:00:14;0:13:59;;
;;;;No;04.10.2021;16:01:34;04.10.2021;16:05:28;0:03:54;;
;;;;No;04.10.2021;16:09:43;04.10.2021;16:33:17;0:23:34;;
;;;;No;04.10.2021;16:50:12;04.10.2021;16:51:26;0:01:14;;
;;;;No;05.10.2021;8:59:07;05.10.2021;9:12:03;0:12:56;;
;;;;No;05.10.2021;9:24:06;05.10.2021;9:38:15;0:14:09;;
;;;;No;05.10.2021;10:01:27;05.10.2021;10:03:27;0:02:00;;
;;;;No;05.10.2021;10:06:09;05.10.2021;10:35:35;0:29:26;;
;;;;No;05.10.2021;10:40:44;05.10.2021;10:49:58;0:09:14;;
;;;;No;05.10.2021;10:50:03;05.10.2021;10:53:00;0:02:57;;
;;;;No;05.10.2021;10:53:02;05.10.2021;11:02:09;0:09:07;;
;;;;No;05.10.2021;11:18:29;05.10.2021;11:21:42;0:03:13;;
;;;;No;05.10.2021;11:22:25;05.10.2021;11:28:51;0:06:26;;
;;;;No;05.10.2021;12:17:59;05.10.2021;12:20:17;0:02:18;;
;;;;No;05.10.2021;12:24:45;05.10.2021;12:55:21;0:30:36;;
;;;;No;05.10.2021;13:10:14;05.10.2021;13:14:46;0:04:32;;
;;;;No;05.10.2021;13:15:00;05.10.2021;13:45:00;0:30:00;;
;;;;No;05.10.2021;14:02:49;05.10.2021;14:24:01;0:21:12;;
;;;;No;05.10.2021;14:28:43;05.10.2021;14:57:45;0:29:02;;
;;;;No;05.10.2021;15:03:28;05.10.2021;15:21:05;0:17:37;;
;;;;No;05.10.2021;15:42:40;05.10.2021;16:19:26;0:36:46;;
;;;;No;05.10.2021;18:55:51;05.10.2021;19:02:46;0:06:55;;
;;;;No;06.10.2021;9:33:44;06.10.2021;10:11:26;0:37:42;;
;;;;No;06.10.2021;10:39:44;06.10.2021;11:39:50;1:00:06;;
;;;;No;06.10.2021;11:43:12;06.10.2021;11:56:03;0:12:51;;
;;;;No;06.10.2021;12:55:08;06.10.2021;13:12:13;0:17:05;;
;;;;No;06.10.2021;13:19:56;06.10.2021;13:36:56;0:17:00;;
;;;;No;06.10.2021;14:11:21;06.10.2021;14:27:06;0:15:45;;
;;;;No;06.10.2021;14:51:35;06.10.2021;15:09:19;0:17:44;;
;;;;No;06.10.2021;15:09:21;06.10.2021;15:49:14;0:39:53;;
;;;;No;06.10.2021;16:14:05;06.10.2021;16:40:23;0:26:18;;
;;;;No;06.10.2021;16:41:25;06.10.2021;16:58:02;0:16:37;;
;;;;No;06.10.2021;17:00:56;06.10.2021;17:56:56;0:56:00;;
;;;;No;06.10.2021;19:41:43;06.10.2021;20:41:25;0:59:42;;
;;;;No;07.10.2021;9:16:49;07.10.2021;9:45:35;0:28:46;;
;;;;No;07.10.2021;10:24:09;07.10.2021;10:27:53;0:03:44;;
;;;;No;07.10.2021;10:30:03;07.10.2021;10:46:59;0:16:56;;
;;;;No;07.10.2021;11:16:02;07.10.2021;11:25:36;0:09:34;;
;;;;No;07.10.2021;11:36:13;07.10.2021;11:52:57;0:16:44;;
;;;;No;07.10.2021;11:52:58;07.10.2021;12:26:08;0:33:10;;
;;;;No;07.10.2021;14:45:59;07.10.2021;14:51:24;0:05:25;;
;;;;No;07.10.2021;15:32:08;07.10.2021;15:38:15;0:06:07;;
;;;;No;07.10.2021;15:50:21;07.10.2021;16:19:31;0:29:10;;
;;;;No;07.10.2021;16:57:02;07.10.2021;17:12:43;0:15:41;;
;;;;No;07.10.2021;17:18:19;07.10.2021;17:27:00;0:08:41;;
;;;;No;08.10.2021;9:01:24;08.10.2021;9:18:20;0:16:56;;
;;;;No;08.10.2021;9:20:50;08.10.2021;9:37:35;0:16:45;;
;;;;No;08.10.2021;9:53:47;08.10.2021;9:57:10;0:03:23;;
;;;;No;08.10.2021;9:59:27;08.10.2021;10:39:17;0:39:50;;
;;;;No;08.10.2021;10:39:21;08.10.2021;10:54:52;0:15:31;;
;;;;No;08.10.2021;10:57:38;08.10.2021;11:29:06;0:31:28;;
;;;;No;08.10.2021;11:59:12;08.10.2021;12:12:45;0:13:33;;
;;;;No;08.10.2021;12:29:54;08.10.2021;12:39:41;0:09:47;;
;;;;No;08.10.2021;13:47:28;08.10.2021;13:59:33;0:12:05;;
;;;;No;08.10.2021;13:59:58;08.10.2021;14:15:58;0:16:00;;
;;;;No;08.10.2021;14:21:14;08.10.2021;15:09:50;0:48:36;;
;;;;No;08.10.2021;15:19:36;08.10.2021;15:27:44;0:08:08;;
;;;;No;08.10.2021;15:28:42;08.10.2021;15:41:13;0:12:31;;
;;;;No;08.10.2021;16:01:45;08.10.2021;16:13:35;0:11:50;;
;;;;No;08.10.2021;16:19:43;08.10.2021;16:30:01;0:10:18;;
;;;;No;08.10.2021;17:00:24;08.10.2021;17:40:52;0:40:28;;
;;;;No;10.10.2021;12:36:53;10.10.2021;12:54:23;0:17:30;;
;;;;No;11.10.2021;8:52:43;11.10.2021;9:51:09;0:58:26;;
;;;;No;11.10.2021;11:18:32;11.10.2021;12:00:58;0:42:26;;
;;;;No;11.10.2021;12:05:35;11.10.2021;12:12:17;0:06:42;;
;;;;No;11.10.2021;14:45:52;11.10.2021;15:34:46;0:48:54;;
;;;;No;11.10.2021;15:58:22;11.10.2021;15:58:31;0:00:09;;
;;;;No;11.10.2021;16:04:15;11.10.2021;17:30:25;1:26:10;;
;;;;No;11.10.2021;17:45:42;11.10.2021;17:46:22;0:00:40;;
;;;;No;11.10.2021;17:46:36;11.10.2021;18:04:36;0:18:00;;
;;;;No;12.10.2021;10:05:01;12.10.2021;10:11:59;0:06:58;;
;;;;No;12.10.2021;10:23:50;12.10.2021;10:25:37;0:01:47;;
;;;;No;12.10.2021;11:12:35;12.10.2021;11:24:39;0:12:04;;
;;;;No;12.10.2021;11:25:45;12.10.2021;11:30:49;0:05:04;;
;;;;No;12.10.2021;11:32:51;12.10.2021;11:43:32;0:10:41;;
;;;;No;12.10.2021;11:52:54;12.10.2021;12:03:08;0:10:14;;
;;;;No;12.10.2021;15:42:53;12.10.2021;15:54:03;0:11:10;;
;;;;No;12.10.2021;15:54:04;12.10.2021;16:10:33;0:16:29;;
;;;;No;12.10.2021;17:16:36;12.10.2021;17:54:15;0:37:39;;
;;;;No;12.10.2021;18:01:05;12.10.2021;18:13:50;0:12:45;;
;;;;No;12.10.2021;19:09:43;12.10.2021;19:15:32;0:05:49;;
;;;;No;12.10.2021;19:23:17;12.10.2021;19:36:25;0:13:08;;
;;;;No;12.10.2021;21:30:20;12.10.2021;21:53:46;0:23:26;;
;;;;No;12.10.2021;21:54:46;12.10.2021;22:10:03;0:15:17;;
;;;;No;12.10.2021;22:23:07;12.10.2021;22:25:43;0:02:36;;
;;;;No;12.10.2021;22:25:44;12.10.2021;22:28:08;0:02:24;;
;;;;No;13.10.2021;12:02:08;13.10.2021;12:20:03;0:17:55;;
;;;;No;13.10.2021;12:21:35;13.10.2021;12:42:03;0:20:28;;
