budget;original_title;popularity;release_year;revenue;vote_average;vote_count
200000000;Titanic;26.88907;1997;1845034240;7.5;7768
175000000;Waterworld;16.885184;1995;264218224;5.9;1017
170000000;Wild Wild West;9.887602;1999;222104688;5.1;1042
160000000;The 13th Warrior;10.308026;1999;61698900;6.4;524
150000000;Tarzan;12.453452;1999;448000000;7.1;1715
140000000;Lethal Weapon 4;14.470551;1998;285444608;6.3;782
140000000;Armageddon;13.235112;1998;553799552;6.5;2540
135000000;The World Is Not Enough;12.130127;1999;361832384;6.0;878
133000000;Stuart Little;8.3595;1999;300135360;5.8;998
130000000;Godzilla;11.295121;1998;379014304;5.3;1075
125000000;Batman & Robin;17.038824;1997;238207120;4.2;1447
120000000;A Bug's Life;16.869209;1998;363258848;6.8;2380
116000000;Dante's Peak;7.240753;1997;178127760;5.8;445
115000000;Star Wars: Episode I - The Phantom Menace;15.649091;1999;924317568;6.4;4528
115000000;True Lies;11.396099;1994;378882400;6.8;1138
110000000;Tomorrow Never Dies;17.159576;1997;333011072;6.0;941
105000000;Starship Troopers;14.412644;1997;121214376;6.7;1584
100000000;Eraser;6.919314;1996;242295568;5.6;553
100000000;Bicentennial Man;9.369918;1999;93700000;6.9;998
100000000;Batman Forever;13.321354;1995;336529152;5.2;1529
100000000;End of Days;9.62371;1999;211989040;5.5;488
100000000;Terminator 2: Judgment Day;22.661695;1991;520000000;7.7;4272
100000000;Sleepy Hollow;11.072361;1999;206071504;6.9;1774
100000000;The Hunchback of Notre Dame;13.553999;1996;100138848;6.8;1182
98000000;Cutthroat Island;7.284477;1995;10017322;5.7;137
95000000;The Mask of Zorro;11.348096;1998;250288528;6.3;1211
92000000;Twister;8.739144;1996;494471520;6.1;966
90000000;Die Hard: With a Vengeance;15.138855;1995;366101664;6.9;2094
90000000;The Insider;11.3569;1999;60289912;7.3;489
90000000;Contact;14.374866;1997;171120336;7.2;1338
90000000;The Devil's Own;10.675073;1997;140807552;5.9;300
90000000;Mulan;21.180857;1998;304320256;7.6;2088
90000000;Men in Black;15.781024;1997;589390528;6.9;4520
90000000;Judge Dredd;8.184815;1995;113493480;5.4;643
90000000;The Fifth Element;24.30526;1997;263920176;7.3;3962
90000000;Toy Story 2;17.547693;1999;497366880;7.3;3914
90000000;Payback;9.112008;1999;161626128;6.7;557
90000000;Meet Joe Black;14.026744;1998;142940096;6.9;1174
90000000;Enemy of the State;12.978751;1998;250649840;6.7;1266
90000000;Babe: Pig in the City;6.229629;1998;69131856;5.3;312
85000000;Hercules;14.048694;1997;252712096;7.3;1741
85000000;Last Action Hero;9.434006;1993;137298496;6.1;725
85000000;Air Force One;12.173291;1997;315156416;6.2;859
85000000;What Dreams May Come;11.218378;1998;71485040;6.8;596
82000000;Man on the Moon;13.217419;1999;47434432;6.9;444
80000000;Mission: Impossible;15.793477;1996;457696352;6.7;2676
80000000;Flubber;7.016942;1997;177977232;5.3;707
80000000;The Postman;6.537407;1997;17626234;6.1;306
80000000;Lost in Space;12.000579;1998;136159424;5.0;395
80000000;Ransom;8.772188;1996;309492672;6.4;482
80000000;Daylight;11.995799;1996;159212464;5.8;385
80000000;The Haunting;8.967638;1999;91188904;5.2;374
80000000;Space Jam;11.054251;1996;250200000;6.5;1335
80000000;Batman Returns;15.001681;1992;280000000;6.6;1706
80000000;The Mummy;23.984065;1999;415885504;6.6;2796
80000000;Life;7.579444;1999;73345032;6.4;179
80000000;Message in a Bottle;5.101392;1999;118880016;5.9;198
80000000;Analyze This;7.634017;1999;176885664;6.4;512
80000000;Face/Off;11.467391;1997;245676144;6.8;1612
80000000;Fantasia 2000;14.972573;1999;90874568;7.0;300
75000000;The Astronaut's Wife;14.705865;1999;19598588;5.5;263
75000000;Soldier;7.970031;1998;14567883;6.1;226
75000000;Three Kings;12.287636;1999;108000000;6.6;709
75000000;The Out-of-Towners;9.019881;1999;29000000;5.1;46
75000000;The Rock;13.249824;1996;335062624;6.9;1474
75000000;Deep Impact;11.644633;1998;140464672;5.9;870
75000000;Forces of Nature;7.906035;1999;93888176;5.1;141
75000000;Backdraft;9.883727;1991;152368592;6.4;360
75000000;Sphere;7.124735;1998;13100000;5.8;483
75000000;Practical Magic;7.757795;1998;46683376;6.3;348
75000000;Con Air;11.545982;1997;224012240;6.5;1289
75000000;Independence Day;17.634197;1996;816969280;6.7;3334
75000000;Conspiracy Theory;14.261798;1997;136982832;6.5;440
75000000;Virus;7.116537;1999;14010690;5.0;151
73000000;The Bone Collector;8.884406;1999;151493648;6.5;843
73000000;The Lost World: Jurassic Park;0.788123;1997;229074528;6.2;2528
73000000;Snake Eyes;11.604533;1998;103891408;5.8;331
72000000;Braveheart;20.755149;1995;210000000;7.7;3404
71000000;Doctor Dolittle;9.439079;1998;294456608;5.4;705
70000000;Double Jeopardy;10.876463;1999;177841552;6.2;282
