id;name_rus;element_number;element_name;info;base_value;multiplayer;grade_of_execution;scores_of_panel;total_element_score;rank
id152;Евгений СЕМЕНЕНКО;1;4T+3T;;13.7;;1.14;14.84;100.22;1
id152;Евгений СЕМЕНЕНКО;2;4S;;9.7;;2.13;11.83;100.22;1
id152;Евгений СЕМЕНЕНКО;3;4T;;9.5;;2.47;11.97;100.22;1
id152;Евгений СЕМЕНЕНКО;4;3A+2A+SЕQ;;11.3;;0.64;11.94;100.22;1
id152;Евгений СЕМЕНЕНКО;5;CCoSp4;;3.5;;1.05;4.55;100.22;1
id152;Евгений СЕМЕНЕНКО;6;3A+1Eu+3S;;14.08;x;1.76;15.84;100.22;1
id152;Евгений СЕМЕНЕНКО;7;3F;;5.83;x;0.85;6.68;100.22;1
id152;Евгений СЕМЕНЕНКО;8;3Lo;;5.39;x;1.27;6.66;100.22;1
id152;Евгений СЕМЕНЕНКО;9;StSq3;;3.3;;0.99;4.29;100.22;1
id152;Евгений СЕМЕНЕНКО;10;ChSq1;;3.0;;1.5;4.5;100.22;1
id152;Евгений СЕМЕНЕНКО;11;CSSp3;;2.6;;0.68;3.28;100.22;1
id152;Евгений СЕМЕНЕНКО;12;FCSp4;;3.2;;0.64;3.84;100.22;1
id150;Илья ЯБЛОКОВ;1;3Lo;;4.9;;1.27;6.17;83.98;2
id150;Илья ЯБЛОКОВ;2;4Tq;q;9.5;;-2.28;7.22;83.98;2
id150;Илья ЯБЛОКОВ;3;3A;;8.0;;1.92;9.92;83.98;2
id150;Илья ЯБЛОКОВ;4;3Lz!+3T;!;10.1;;0.24;10.34;83.98;2
id150;Илья ЯБЛОКОВ;5;CCoSp3;;3.0;;0.66;3.66;83.98;2
id150;Илья ЯБЛОКОВ;6;ChSq1;;3.0;;1.0;4.0;83.98;2
id150;Илья ЯБЛОКОВ;7;3Aq+1Eu+3S;q;14.08;x;0.0;14.08;83.98;2
id150;Илья ЯБЛОКОВ;8;3F;;5.83;x;1.17;7.0;83.98;2
id150;Илья ЯБЛОКОВ;9;3Lo+2A+SЕQ;;9.02;x;0.98;10.0;83.98;2
id150;Илья ЯБЛОКОВ;10;FCSp4;;3.2;;0.77;3.97;83.98;2
id150;Илья ЯБЛОКОВ;11;StSq2;;2.6;;0.94;3.54;83.98;2
id150;Илья ЯБЛОКОВ;12;CSSp4;;3.0;;1.08;4.08;83.98;2
id78;Артём КОВАЛЁВ;1;4S;;9.7;;2.13;11.83;84.82;3
id78;Артём КОВАЛЁВ;2;4T+2T;;10.8;;1.52;12.32;84.82;3
id78;Артём КОВАЛЁВ;3;3F+1Eu+3S;;10.1;;1.17;11.27;84.82;3
id78;Артём КОВАЛЁВ;4;3Lo;;4.9;;1.08;5.98;84.82;3
id78;Артём КОВАЛЁВ;5;CSSp1V;;1.43;;0.09;1.52;84.82;3
id78;Артём КОВАЛЁВ;6;FCSp3;;2.8;;0.17;2.97;84.82;3
id78;Артём КОВАЛЁВ;7;3A+2A+SЕQ;;12.43;x;1.44;13.87;84.82;3
id78;Артём КОВАЛЁВ;8;3A;;8.8;x;0.16;8.96;84.82;3
id78;Артём КОВАЛЁВ;9;3F;;5.83;x;0.74;6.57;84.82;3
id78;Артём КОВАЛЁВ;10;ChSq1;;3.0;;0.8;3.8;84.82;3
id78;Артём КОВАЛЁВ;11;StSq2;;2.6;;0.52;3.12;84.82;3
id78;Артём КОВАЛЁВ;12;CCoSp3V;nS;2.25;;0.36;2.61;84.82;3
id148;Макар ИГНАТОВ;1;4Lo;;10.5;;2.1;12.6;81.04;4
id148;Макар ИГНАТОВ;2;4S<;F;7.76;;-3.88;3.88;81.04;4
id148;Макар ИГНАТОВ;3;3A+3T;;12.2;;1.92;14.12;81.04;4
id148;Макар ИГНАТОВ;4;4T+2A+SЕQ;;12.8;;1.14;13.94;81.04;4
id148;Макар ИГНАТОВ;5;FCSp4;;3.2;;0.83;4.03;81.04;4
id148;Макар ИГНАТОВ;6;ChSq1;;3.0;;0.8;3.8;81.04;4
id148;Макар ИГНАТОВ;7;4T;;10.45;x;-2.66;7.79;81.04;4
id148;Макар ИГНАТОВ;8;1A+1Eu+3S;;6.49;x;0.17;6.66;81.04;4
id148;Макар ИГНАТОВ;9;3F;;5.83;x;0.95;6.78;81.04;4
id148;Макар ИГНАТОВ;10;CSSp2;;2.3;;0.28;2.58;81.04;4
id148;Макар ИГНАТОВ;11;StSq1;F;1.8;;-0.79;1.01;81.04;4
id148;Макар ИГНАТОВ;12;CCoSp4;;3.5;;0.35;3.85;81.04;4
id75;Алексей ЕРОХОВ;1;4Loq;q;10.5;;-4.41;6.09;70.25;5
id75;Алексей ЕРОХОВ;2;4S;;9.7;;2.13;11.83;70.25;5
id75;Алексей ЕРОХОВ;3;4T;;9.5;;-2.28;7.22;70.25;5
id75;Алексей ЕРОХОВ;4;3A<;F;6.4;;-3.2;3.2;70.25;5
id75;Алексей ЕРОХОВ;5;StSq2;;2.6;;0.42;3.02;70.25;5
id75;Алексей ЕРОХОВ;6;3Lz!+3T;!;11.11;x;0.12;11.23;70.25;5
id75;Алексей ЕРОХОВ;7;FCSp3;;2.8;;0.11;2.91;70.25;5
id75;Алексей ЕРОХОВ;8;3Lz!+3T;!;11.11;x;0.35;11.46;70.25;5
id75;Алексей ЕРОХОВ;9;3Fq;q;5.83;x;-1.06;4.77;70.25;5
id75;Алексей ЕРОХОВ;10;ChSq1;;3.0;;0.7;3.7;70.25;5
id75;Алексей ЕРОХОВ;11;FCCoSp2V;nC;1.88;;0.04;1.92;70.25;5
id75;Алексей ЕРОХОВ;12;CCoSp2;;2.5;;0.4;2.9;70.25;5
