id;name_rus;element_number;element_name;info;base_value;multiplayer;grade_of_execution;scores_of_panel;total_element_score;rank
id1;Елизавета ТУКТАМЫШЕВА;1;3A+2A+SЕQ;;11.3;;2.4;13.7;85.1;1
id1;Елизавета ТУКТАМЫШЕВА;2;3A;;8.0;;2.4;10.4;85.1;1
id1;Елизавета ТУКТАМЫШЕВА;3;3Lz+2T;;7.2;;1.06;8.26;85.1;1
id1;Елизавета ТУКТАМЫШЕВА;4;3F;;5.3;;1.48;6.78;85.1;1
id1;Елизавета ТУКТАМЫШЕВА;5;FCSp4;;3.2;;1.09;4.29;85.1;1
id1;Елизавета ТУКТАМЫШЕВА;6;StSq4;;3.9;;1.17;5.07;85.1;1
id1;Елизавета ТУКТАМЫШЕВА;7;2A+1Eu+3S;;8.91;x;1.03;9.94;85.1;1
id1;Елизавета ТУКТАМЫШЕВА;8;3Lz;;6.49;x;1.77;8.26;85.1;1
id1;Елизавета ТУКТАМЫШЕВА;9;3Lo;;5.39;x;1.47;6.86;85.1;1
id1;Елизавета ТУКТАМЫШЕВА;10;LSp2;;1.9;;0.49;2.39;85.1;1
id1;Елизавета ТУКТАМЫШЕВА;11;ChSq1;;3.0;;1.6;4.6;85.1;1
id1;Елизавета ТУКТАМЫШЕВА;12;CCoSp4;;3.5;;1.05;4.55;85.1;1
id9;Софья МУРАВЬЕВА;1;3A+2T;;9.3;;0.32;9.62;84.54;2
id9;Софья МУРАВЬЕВА;2;3A;;8.0;;2.4;10.4;84.54;2
id9;Софья МУРАВЬЕВА;3;3Lo;;4.9;;1.18;6.08;84.54;2
id9;Софья МУРАВЬЕВА;4;2A;;3.3;;0.79;4.09;84.54;2
id9;Софья МУРАВЬЕВА;5;CCoSp4;;3.5;;1.05;4.55;84.54;2
id9;Софья МУРАВЬЕВА;6;ChSq1;;3.0;;1.5;4.5;84.54;2
id9;Софья МУРАВЬЕВА;7;3Lz+3T;;11.11;x;1.65;12.76;84.54;2
id9;Софья МУРАВЬЕВА;8;3F+1Eu+3S;;11.11;x;1.06;12.17;84.54;2
id9;Софья МУРАВЬЕВА;9;3Lz;;6.49;x;1.42;7.91;84.54;2
id9;Софья МУРАВЬЕВА;10;LSp3;;2.4;;0.77;3.17;84.54;2
id9;Софья МУРАВЬЕВА;11;StSq4;;3.9;;1.17;5.07;84.54;2
id9;Софья МУРАВЬЕВА;12;FCSp4;;3.2;;1.02;4.22;84.54;2
id14;Алина ГОРБАЧЁВА;1;4Sq;q;9.7;;-4.07;5.63;80.29;3
id14;Алина ГОРБАЧЁВА;2;3F;;5.3;;1.59;6.89;80.29;3
id14;Алина ГОРБАЧЁВА;3;3Lo+2A+SЕQ;;8.2;;1.18;9.38;80.29;3
id14;Алина ГОРБАЧЁВА;4;2A;;3.3;;0.92;4.22;80.29;3
id14;Алина ГОРБАЧЁВА;5;CCoSp4;;3.5;;1.26;4.76;80.29;3
id14;Алина ГОРБАЧЁВА;6;ChSq1;;3.0;;1.5;4.5;80.29;3
id14;Алина ГОРБАЧЁВА;7;3Lz+3T;;11.11;x;1.53;12.64;80.29;3
id14;Алина ГОРБАЧЁВА;8;3Lz+1Eu+3S;;11.77;x;0.94;12.71;80.29;3
id14;Алина ГОРБАЧЁВА;9;3Lo;;5.39;x;1.18;6.57;80.29;3
id14;Алина ГОРБАЧЁВА;10;FCSp4;;3.2;;1.02;4.22;80.29;3
id14;Алина ГОРБАЧЁВА;11;FCCoSp4;;3.5;;1.05;4.55;80.29;3
id14;Алина ГОРБАЧЁВА;12;StSq3;;3.3;;0.92;4.22;80.29;3
id37;Ксения СИНИЦЫНА;1;2A;;3.3;;0.99;4.29;70.65;4
id37;Ксения СИНИЦЫНА;2;3Lz+2A+SЕQ;;9.2;;1.3;10.5;70.65;4
id37;Ксения СИНИЦЫНА;3;3S;;4.3;;0.86;5.16;70.65;4
id37;Ксения СИНИЦЫНА;4;3Lo;;4.9;;0.59;5.49;70.65;4
id37;Ксения СИНИЦЫНА;5;FCCoSp4;;3.5;;0.91;4.41;70.65;4
id37;Ксения СИНИЦЫНА;6;ChSq1;;3.0;;1.3;4.3;70.65;4
id37;Ксения СИНИЦЫНА;7;3F;;5.83;x;-1.7;4.13;70.65;4
id37;Ксения СИНИЦЫНА;8;3Lz+3T;;11.11;x;1.06;12.17;70.65;4
id37;Ксения СИНИЦЫНА;9;3F+2T+2Lo;;9.13;x;0.42;9.55;70.65;4
id37;Ксения СИНИЦЫНА;10;CCoSp4;;3.5;;0.84;4.34;70.65;4
