id;name_eng;element_number;element_name;info;base_value;multiplayer;grade_of_execution;scores_of_panel;total_element_score;rank
id13;Kamila VALIEVA;1;4T+2A+SЕQ;;12.8;;3.8;16.6;93.27;1
id13;Kamila VALIEVA;2;4T;;9.5;;3.94;13.44;93.27;1
id13;Kamila VALIEVA;3;3Lo;;4.9;;1.54;6.44;93.27;1
id13;Kamila VALIEVA;4;2A;;3.3;;0.99;4.29;93.27;1
id13;Kamila VALIEVA;5;FCSp4;;3.2;;1.28;4.48;93.27;1
id13;Kamila VALIEVA;6;StSq4;;3.9;;1.56;5.46;93.27;1
id13;Kamila VALIEVA;7;3Lz+3T;;11.11;x;1.85;12.96;93.27;1
id13;Kamila VALIEVA;8;2F+1Eu+3S;;7.26;x;0.86;8.12;93.27;1
id13;Kamila VALIEVA;9;3Lz;;6.49;x;2.02;8.51;93.27;1
id13;Kamila VALIEVA;10;FCCoSp3;;3.0;;0.9;3.9;93.27;1
id13;Kamila VALIEVA;11;ChSq1;;3.0;;2.21;5.21;93.27;1
id13;Kamila VALIEVA;12;CCoSp3;;3.0;;0.86;3.86;93.27;1
id5;Sofia AKATEVA;1;3A<;F;6.4;;-3.2;3.2;91.72;2
id5;Sofia AKATEVA;2;4T+2A+SЕQ;;12.8;;2.99;15.79;91.72;2
id5;Sofia AKATEVA;3;4Tq;q;9.5;;-0.27;9.23;91.72;2
id5;Sofia AKATEVA;4;3Lo;;4.9;;1.47;6.37;91.72;2
id5;Sofia AKATEVA;5;FCSp4;;3.2;;1.1;4.3;91.72;2
id5;Sofia AKATEVA;6;StSq4;;3.9;;1.23;5.13;91.72;2
id5;Sofia AKATEVA;7;3Lz+3T;;11.11;x;1.69;12.8;91.72;2
id5;Sofia AKATEVA;8;3F+1Eu+3S;;11.11;x;1.29;12.4;91.72;2
id5;Sofia AKATEVA;9;3Lz;;6.49;x;1.77;8.26;91.72;2
id5;Sofia AKATEVA;10;CCoSp4;;3.5;;1.25;4.75;91.72;2
id5;Sofia AKATEVA;11;ChSq1;;3.0;;1.79;4.79;91.72;2
id5;Sofia AKATEVA;12;FCCoSp4;;3.5;;1.2;4.7;91.72;2
id23;Adeliia PETROSIAN;1;4Lo<<;F;4.9;;-2.45;2.45;89.5;3
id23;Adeliia PETROSIAN;2;4T+2A+SЕQ;;12.8;;2.71;15.51;89.5;3
id23;Adeliia PETROSIAN;3;4T;;9.5;;2.85;12.35;89.5;3
id23;Adeliia PETROSIAN;4;2A;;3.3;;0.85;4.15;89.5;3
id23;Adeliia PETROSIAN;5;FCSp4;;3.2;;1.33;4.53;89.5;3
id23;Adeliia PETROSIAN;6;ChSq1;;3.0;;1.57;4.57;89.5;3
id23;Adeliia PETROSIAN;7;3Lz+1Eu+3S;;11.77;x;1.1;12.87;89.5;3
