name;rank1;Московские звезды;КП_ПП_МЗ;rank2;Золотой конек Москвы;КП_ПП_ЗКМ;rank3;Бархатный сезон;КП_ПП_БС;rank4;Идель;КП_ПП_И;rank5;Волжский пируэт;КП_ПП_ВП
Елизавета ТУКТАМЫШЕВА;1.0;18;234.63;;;;;;;;;;;;
Софья МУРАВЬЕВА;2.0;16;230.56;;;;;;;;;;;;
Софья АКАТЬЕВА;3.0;14;225.37;2.0;16;236.68;;;;;;;;;
Анастасия ЗИНИНА;4.0;12;206.25;3.0;14;200.43;;;;;;;;;
Агнета ЛАТУШКИНА;5.0;10;173.14;;;;;;;;;;7.0;6;167.79
Мария ПАРАМОНОВА;6.0;8;168.76;;;;;;;5.0;10;184.61;;;
Камила ВАЛИЕВА;;;;1.0;18;244.66;;;;1.0;18;241.72;;;
Алина ГОРБАЧЁВА;;;;4.0;12;189.34;;;;;;;;;
София ЗАХАРОВА;;;;5.0;10;189.31;5.0;10;200.71;;;;;;
Аделия ПЕТРОСЯН;;;;;;;1.0;18;239.31;;;;;;
Софья САМОДЕЛКИНА;;;;;;;2.0;16;218.73;;;;1.0;18;217.87
Александра ТРУСОВА;;;;;;;3.0;14;208.55;;;;2.0;16;213.8
Вероника ЯМЕТОВА;;;;;;;4.0;12;204.96;2.0;16;210.34;;;
Софья ЧАПЛЫГИНА;;;;;;;9.0;2;157.34;;;;5.0;10;181.6
Ксения СИНИЦЫНА;;;;;;;;;;3.0;14;207.55;;;
Ксения ГУЩИНА;;;;;;;;;;4.0;12;190.78;3.0;14;196.18
Анна ФРОЛОВА;;;;;;;;;;;;;4.0;12;193.99
