name;Этап 1;Этап 2;stage1_name;stage2_name
Камила ВАЛИЕВА;18;18;Золотой конек Москвы;Идель
Вероника ЯМЕТОВА;12;16;Бархатный сезон;Идель
София ЗАХАРОВА;10;10;Золотой конек Москвы;Бархатный сезон
Аделия ПЕТРОСЯН;18;;Бархатный сезон;
Софья АКАТЬЕВА;16;;Золотой конек Москвы;
Софья САМОДЕЛКИНА;16;;Бархатный сезон;
Александра ТРУСОВА;14;;Бархатный сезон;
Ксения СИНИЦЫНА;14;;Идель;
Анастасия ЗИНИНА;14;;Золотой конек Москвы;
Ксения ГУЩИНА;12;;Идель;
Алина ГОРБАЧЁВА;12;;Золотой конек Москвы;
Мария ПАРАМОНОВА;10;;Идель;
