name;rank1;Золотой конек Москвы;КП_ПП_ЗКМ;rank2;Бархатный сезон;КП_ПП_БС;rank3;Идель;КП_ПП_И;rank4;Московские звезды;КП_ПП_МЗ
Камила ВАЛИЕВА;1;18;244.66;;;;1;18;241.72;;;
Вероника ЯМЕТОВА;;;;4;12;204.96;2;16;210.34;;;
София ЗАХАРОВА;5;10;189.31;5;10;200.71;;;;;;
Аделия ПЕТРОСЯН;;;;1;18;239.31;;;;;;
Софья АКАТЬЕВА;2;16;236.68;;;;;;;3;14;225.37
Софья САМОДЕЛКИНА;;;;2;16;218.73;;;;;;
Александра ТРУСОВА;;;;3;14;208.55;;;;;;
Ксения СИНИЦЫНА;;;;;;;3;14;207.55;;;
Анастасия ЗИНИНА;3;14;200.43;;;;;;;4;12;206.25
Ксения ГУЩИНА;;;;;;;4;12;190.78;;;
Алина ГОРБАЧЁВА;4;12;189.34;;;;;;;;;
Мария ПАРАМОНОВА;;;;;;;5;10;184.61;6;8;168.76
Елизавета ТУКТАМЫШЕВА;;;;;;;;;;1;18;234.63
Софья МУРАВЬЕВА;;;;;;;;;;2;16;230.56
Агнета ЛАТУШКИНА;;;;;;;;;;5;10;173.14
