name;rank1;Московские звезды;КП_ПП_МЗ;rank2;Золотой конек Москвы;КП_ПП_ЗКМ;rank3;Бархатный сезон;КП_ПП_БС;rank4;Идель;КП_ПП_И;rank5;Волжский пируэт;КП_ПП_ВП;rank6;На призы Губернатора Пермского края;КП_ПП_ПК
Пётр ГУМЕННИК;1.0;18;280.65;;;;3.0;14;236.63;;;;;;;;;
Евгений СЕМЕНЕНКО;2.0;16;272.68;;;;;;;;;;;;;1.0;18;292.99
Михаил КОЛЯДА;3.0;14;270.51;4.0;12;237.22;;;;;;;;;;;;
Илья ЯБЛОКОВ;4.0;12;248.31;;;;;;;;;;;;;2.0;16;264.2
Дмитрий АЛИЕВ;;;;1.0;18;273.63;;;;1.0;18;280.95;;;;;;
Глеб ЛУТФУЛЛИН;;;;2.0;16;258.2;;;;;;;1.0;18;273.56;;;
Александр САМАРИН;;;;3.0;14;257.43;;;;;;;2.0;16;268.65;;;
Иван ПОПОВ;;;;6.0;8;195.15;;;;3.0;14;243.28;;;;;;
Марк КОНДРАТЮК;;;;;;;1.0;18;279.0;;;;3.0;14;260.68;;;
Алексей ЕРОХОВ;;;;;;;2.0;16;241.05;;;;;;;4.0;12;243.12
Артём КОВАЛЁВ;;;;;;;5.0;10;226.53;;;;;;;3.0;14;245.02
Андрей МОЗАЛЁВ;;;;;;;;;;2.0;16;272.71;4.0;12;258.8;;;
