name;rank1;Московские звезды;КП_ПП_МЗ;rank2;Золотой конек Москвы;КП_ПП_ЗКМ;rank3;Бархатный сезон;КП_ПП_БС;rank4;Идель;КП_ПП_И;rank5;Волжский пируэт;КП_ПП_ВП;rank6;На призы Губернатора Пермского края;КП_ПП_ПК
Елизавета ТУКТАМЫШЕВА;1.0;18;234.63;;;;;;;;;;;;;1.0;18;239.94
Софья МУРАВЬЕВА;2.0;16;230.56;;;;;;;;;;;;;2.0;16;239.15
Софья АКАТЬЕВА;3.0;14;225.37;2.0;16;236.68;;;;;;;;;;;;
Анастасия ЗИНИНА;4.0;12;206.25;3.0;14;200.43;;;;;;;;;;;;
Камила ВАЛИЕВА;;;;1.0;18;244.66;;;;1.0;18;241.72;;;;;;
Алина ГОРБАЧЁВА;;;;4.0;12;189.34;;;;;;;;;;3.0;14;210.86
София ЗАХАРОВА;;;;5.0;10;189.31;5.0;10;200.71;;;;;;;;;
Софья САМОДЕЛКИНА;;;;;;;2.0;16;218.73;;;;1.0;18;217.87;;;
Александра ТРУСОВА;;;;;;;3.0;14;208.55;;;;2.0;16;213.8;;;
Вероника ЯМЕТОВА;;;;;;;4.0;12;204.96;2.0;16;210.34;;;;;;
Ксения СИНИЦЫНА;;;;;;;;;;3.0;14;207.55;;;;4.0;12;207.67
Ксения ГУЩИНА;;;;;;;;;;4.0;12;190.78;3.0;14;196.18;;;
